talk_id	alignment_id	alignment_type	cost	selection_reasons	source_segment_ids	source_text	target_segment_ids	target_text	verdict	preferred_source_ids	preferred_target_ids	note
ted-alona-fyshe-ai-understand	a-000001	1:1	0.267262	"[""1:1"",""beginning"",""short_source""]"	"[""en-000001""]"	People are funny.	"[""vi-000001""]"	Con người thì hài hước.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000002	1:1	0.129315	"[""1:1"",""beginning""]"	"[""en-000002""]"	We're constantly trying to understand and interpret the world around us.	"[""vi-000002""]"	Chúng ta luôn cố hiểu và giải thích thế giới xung quanh chúng ta.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000003	1:1	0.047874	"[""1:1"",""beginning""]"	"[""en-000003""]"	I live in a house with two black cats, and let me tell you, every time I see a black, bunched up sweater out of the corner of my eye, I think it's a cat.	"[""vi-000003""]"	Tôi sống cùng với hai chú mèo đen, và để tôi nói với bạn điều này, mỗi lần tôi thấy cái áo len màu đen, chụm thành nùi qua khóe mắt, tôi nghĩ đó là con mèo.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000004	1:1	0.031014	"[""1:1"",""beginning""]"	"[""en-000004""]"	It's not just the things we see.	"[""vi-000004""]"	Không chỉ là những thứ ta thấy.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000015	1:1	0.272894	"[""1:1""]"	"[""en-000015""]"	So he communicated his answers by tapping his hoof.	"[""vi-000015""]"	Vậy nên chú phản hồi bằng cách dậm chân.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000019	1:1	0.513577	"[""1:1"",""highest_cost"",""short_source""]"	"[""en-000019""]"	Or would we?	"[""vi-000019""]"	Hoặc chúng ta sẽ có ?	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000021	1:1	0.323649	"[""1:1""]"	"[""en-000021""]"	There have been multiple examples of people being completely convinced that AI understands them.	"[""vi-000021""]"	Có rất nhiều ví dụ về nhiều người hoàn toàn bị thuyết phục rằng AI hiểu họ.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000033	1:1	0.351819	"[""1:1"",""highest_cost""]"	"[""en-000033""]"	They write the response down on a piece of paper and then send it back out through the door.	"[""vi-000033""]"	Họ sẽ viết câu phản hồi vào mảnh giấy đó và gửi lại nó qua khe cửa.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000058	1:1	0.303293	"[""1:1""]"	"[""en-000058""]"	Is it an imposter or not?	"[""vi-000058""]"	Có phải là kẻ mạo danh hay không?	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000062	1:1	0.017893	"[""1:1"",""middle""]"	"[""en-000062""]"	Using something like fMRI or EEG, we can take what are like little snapshots of the brain while it’s reading.	"[""vi-000062""]"	Sử dụng một cái gì đó như fMRI hoặc EEG, ta có thể chụp được đại loại như ảnh chụp nhanh của não khi nó đang đọc.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000063	1:1	0.056566	"[""1:1"",""middle""]"	"[""en-000063""]"	So have people read words or stories and then take pictures of their brain.	"[""vi-000063""]"	Vì vậy, hãy nói mọi người đọc các từ hoặc câu chuyện và sau đó chụp ảnh não của họ.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000064	1:1	0.220591	"[""1:1"",""middle""]"	"[""en-000064""]"	And those brain images are like fuzzy, out-of-focus pictures of the scratch pad of the brain.	"[""vi-000064""]"	Và những hình chụp não đó giống ảnh mờ, ảnh mất nét của bộ nhớ đệm trong não.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000065	1:1	0.104695	"[""1:1"",""middle""]"	"[""en-000065""]"	They tell us a little bit about how the brain is processing and representing information while you read.	"[""vi-000065""]"	Chúng cho chúng ta biết một chút về cách bộ não đang xử lý và thể hiện thông tin trong khi bạn đọc.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000066	1:1	0.050665	"[""1:1"",""middle""]"	"[""en-000066""]"	"So here are three brain images taken while a person read the word ""apartment,"" ""house"" and ""celery."""	"[""vi-000066""]"	Vì vậy, đây là ba hình chụp não được chụp trong khi một người đọc từ “căn hộ” “nhà” và “rau cần tây.”	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000074	1:1	0.328768	"[""1:1""]"	"[""en-000074""]"	So inside a lot of AIs is a neural network.	"[""vi-000074""]"	Vì vậy, bên trong rất nhiều AI là một mạng lưới thần kinh.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000082	1:1	0.361336	"[""1:1"",""highest_cost"",""short_source""]"	"[""en-000082""]"	OK, great.	"[""vi-000082""]"	OK, tuyệt vời.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000085	1:1	0.608744	"[""1:1"",""highest_cost"",""short_source""]"	"[""en-000085""]"	How can we test that?	"[""vi-000085""]"	Vậy làm cách nào để chúng ta kiểm tra?	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000090	1:1	0.291146	"[""1:1""]"	"[""en-000090""]"	So let's train a new model.	"[""vi-000090""]"	Vì vậy, hãy đào tạo một mô hình mới.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000105	1:1	0.342531	"[""1:1"",""highest_cost"",""short_source""]"	"[""en-000105""]"	Well, truthfully, no.	"[""vi-000105""]"	Chà, thành thật mà nói, không.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000108	2:1	0.812605	"[""2:1"",""highest_cost""]"	"[""en-000108"",""en-000109""]"	Neural networks also don't exist in the world. A neural network has never opened a door or seen a sunset, heard a baby cry.	"[""vi-000108""]"	Mạng lưới thần kinh cũng không tồn tại trên thế giới Mạng lưới thần kinh chưa bao giờ mở cửa hay nhìn thấy hoàng hôn, nghe tiếng em bé khóc.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000120	1:1	0.030519	"[""1:1"",""annotation""]"	"[""en-000121""]"	(Laughter) But one thing will remain true.	"[""vi-000120""]"	(Tiếng cười) Nhưng có một điều sẽ luôn đúng.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000123	1:1	0.01481	"[""1:1"",""end""]"	"[""en-000124""]"	We need to get inside of the metaphorical room of AI in order to see what's happening.	"[""vi-000123""]"	Chúng ta cần vào được bên trong trường ẩn dụ của AI để nhìn rõ chuyện gì đang xảy ra.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000124	1:1	0.072046	"[""1:1"",""end"",""short_source""]"	"[""en-000125""]"	It's what's inside the counts.	"[""vi-000124""]"	Nó là thứ ở bên trong các bộ đếm.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000125	1:1	0.318452	"[""1:1"",""end"",""short_source""]"	"[""en-000126""]"	Thank you.	"[""vi-000125""]"	Cảm ơn các bạn.	correct	[]	[]	
ted-alona-fyshe-ai-understand	a-000126	1:1	0.280469	"[""1:1"",""annotation"",""end"",""short_source""]"	"[""en-000127""]"	(Applause)	"[""vi-000126""]"	(Vỗ tay)	correct	[]	[]	
ted-jeff-dean-ai-smart	a-000001	1:1	0.71357	"[""1:1"",""beginning"",""highest_cost"",""short_source""]"	"[""en-000001""]"	Hi, I'm Jeff.	"[""vi-000001""]"	Xin chào, tôi là Jeff.	correct	[]	[]	
ted-jeff-dean-ai-smart	a-000002	1:1	0.366438	"[""1:1"",""beginning""]"	"[""en-000002""]"	I lead AI Research and Health at Google.	"[""vi-000002""]"	Tôi đứng đầu mảng Nghiên cứu AI và Sức khỏe tại Google.	correct	[]	[]	
